filepath,class,label
data\jester_NO_npy\61245.npy,no,0
data\SL_YES_npy\42044.npy,yes,1
data\jester_NO_npy\64709.npy,no,0
data\jester_NO_npy\89363.npy,no,0
data\jester_NO_npy\100164.npy,no,0
data\jester_NO_npy\74997.npy,no,0
data\jester_NO_npy\36607.npy,no,0
data\SL_YES_npy\65507.npy,yes,1
data\jester_NO_npy\133274.npy,no,0
data\jester_NO_npy\148008.npy,no,0
data\jester_NO_npy\60670.npy,no,0
data\jester_NO_npy\83624.npy,no,0
data\jester_NO_npy\18491.npy,no,0
data\jester_NO_npy\39064.npy,no,0
data\jester_NO_npy\137782.npy,no,0
data\jester_NO_npy\130627.npy,no,0
data\jester_NO_npy\71868.npy,no,0
data\jester_NO_npy\5370.npy,no,0
data\jester_NO_npy\113728.npy,no,0
data\jester_NO_npy\25989.npy,no,0
data\jester_NO_npy\116899.npy,no,0
data\SL_YES_npy\46179.npy,yes,1
data\jester_NO_npy\96594.npy,no,0
data\jester_NO_npy\25491.npy,no,0
data\SL_YES_npy\06439.npy,yes,1
data\jester_NO_npy\80880.npy,no,0
data\jester_NO_npy\11193.npy,no,0
data\jester_NO_npy\53428.npy,no,0
data\SL_YES_npy\51718.npy,yes,1
data\jester_NO_npy\129231.npy,no,0
data\SL_YES_npy\46731.npy,yes,1
data\jester_NO_npy\22482.npy,no,0
data\SL_YES_npy\08001.npy,yes,1
data\SL_YES_npy\37837.npy,yes,1
data\SL_YES_npy\65591.npy,yes,1
data\SL_YES_npy\06363.npy,yes,1
data\SL_YES_npy\24609.npy,yes,1
data\jester_NO_npy\76322.npy,no,0
data\SL_YES_npy\69318.npy,yes,1
data\SL_YES_npy\62294.npy,yes,1
data\jester_NO_npy\17790.npy,no,0
data\SL_YES_npy\25250.npy,yes,1
data\jester_NO_npy\98313.npy,no,0
data\jester_NO_npy\42121.npy,no,0
data\SL_YES_npy\17395.npy,yes,1
data\SL_YES_npy\31740.npy,yes,1
data\SL_YES_npy\56162.npy,yes,1
data\jester_NO_npy\22837.npy,no,0
data\jester_NO_npy\24098.npy,no,0
data\jester_NO_npy\137090.npy,no,0
data\SL_YES_npy\58613.npy,yes,1
data\jester_NO_npy\98173.npy,no,0
data\SL_YES_npy\52802.npy,yes,1
data\jester_NO_npy\59957.npy,no,0
data\SL_YES_npy\58772.npy,yes,1
data\jester_NO_npy\132384.npy,no,0
data\jester_NO_npy\38988.npy,no,0
data\jester_NO_npy\95597.npy,no,0
data\jester_NO_npy\66670.npy,no,0
data\SL_YES_npy\56038.npy,yes,1
data\jester_NO_npy\36118.npy,no,0
data\jester_NO_npy\58909.npy,no,0
data\SL_YES_npy\32303.npy,yes,1
data\SL_YES_npy\42512.npy,yes,1
data\SL_YES_npy\69323.npy,yes,1
data\jester_NO_npy\118026.npy,no,0
data\jester_NO_npy\60708.npy,no,0
data\jester_NO_npy\147171.npy,no,0
data\SL_YES_npy\06075.npy,yes,1
data\jester_NO_npy\132340.npy,no,0
data\SL_YES_npy\47112.npy,yes,1
data\SL_YES_npy\51226.npy,yes,1
data\SL_YES_npy\32860.npy,yes,1
data\jester_NO_npy\128037.npy,no,0
data\SL_YES_npy\27282.npy,yes,1
data\SL_YES_npy\23632.npy,yes,1
data\SL_YES_npy\27173.npy,yes,1
data\jester_NO_npy\91845.npy,no,0
data\jester_NO_npy\67621.npy,no,0
data\jester_NO_npy\75777.npy,no,0
data\jester_NO_npy\116653.npy,no,0
data\jester_NO_npy\60004.npy,no,0
data\SL_YES_npy\12654.npy,yes,1
data\SL_YES_npy\16269.npy,yes,1
data\SL_YES_npy\26163.npy,yes,1
